n,dtype,variant,nV,nE,nF,ms,hess_ms,grad_ms,warmup_s,speedup_vs_eager,oom
10,f32,eager,100,261,162,12.653195190429688,11.887483215332031,1.2057855606079102,0.1988318283110857,1.0,
10,f32,compile,100,261,162,2.521980857849121,1.0893360137939454,1.2982080459594727,2.6935339085757732,5.017165436069567,
10,f32,cuda_graphs,100,261,162,2.5893056869506834,1.1735983848571778,1.2396783828735352,1.4970666076987982,4.886713551898472,
10,f32,pytorch_dense,,,,9.261727905273437,,,0.04303184896707535,,False
100,f32,eager,10000,29601,19602,13.342312622070313,11.202843475341798,1.2594944000244142,0.2088140733540058,1.0,
100,f32,compile,10000,29601,19602,2.5162399291992186,1.0959152221679687,1.273641586303711,2.7390502262860537,5.302480287051339,
100,f32,cuda_graphs,10000,29601,19602,2.554756736755371,1.1266608238220215,1.2765151977539062,1.4593759179115295,5.222537406444227,
100,f32,pytorch_dense,,,,nan,,,nan,,True
500,f32,eager,250000,748001,498002,12.318163299560547,10.939227294921874,1.2711263656616212,0.22324756905436516,1.0,
500,f32,compile,250000,748001,498002,7.309088134765625,6.45948486328125,1.2930992126464844,6.212510539218783,1.685321489142988,
500,f32,cuda_graphs,250000,748001,498002,7.6251983642578125,6.776719665527343,1.2929759979248048,2.3016346730291843,1.615454800140077,
500,f32,pytorch_dense,,,,nan,,,nan,,True
1000,f32,eager,1000000,2996001,1996002,50.933493041992186,47.135195922851565,3.8028560638427735,0.22873679175972939,1.0,
1000,f32,compile,1000000,2996001,1996002,30.484329223632812,26.627890014648436,3.84456787109375,6.251130752265453,1.6708090464561138,
1000,f32,cuda_graphs,1000000,2996001,1996002,31.942584228515624,27.966592407226564,3.882574462890625,2.334755413234234,1.5945326363583034,
1000,f32,pytorch_dense,,,,nan,,,nan,,True
