workload,N,dtype,device,variant,ms,speedup,compile_s,maxdiff,ok,note
area,10000,float64,cuda,eager_rev,4.227529652913412,1.1590808889413986,0.0,nan,True,
area,10000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,10000,float64,cuda,compiled[fusion],0.18751254081726074,26.131845938242147,0.4023751337081194,nan,False,
area,10000,float64,cuda,compiled[cuda_graphs],0.20110400517781576,24.365744599628368,0.3741653971374035,nan,False,
area,100000,float64,cuda,eager_fwd(lib),4.926292419433594,1.0,0.0,0.0,True,baseline
area,100000,float64,cuda,eager_rev,4.27779541015625,1.151596078610421,0.0,nan,True,
area,100000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
area,100000,float64,cuda,compiled[fusion],1.1736896514892579,4.197270047650822,0.39716564305126667,nan,False,
area,100000,float64,cuda,compiled[cuda_graphs],1.2001930236816407,4.104583448020713,0.38372526317834854,nan,False,
neohookean,1000,float32,cuda,eager_fwd(lib),8.557703653971354,1.0,0.0,0.0,True,baseline
neohookean,1000,float32,cuda,eager_rev,6.583184814453125,1.2999336787846592,0.0,2.2347152738096062e-07,True,
neohookean,1000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,1000,float32,cuda,compiled[fusion],0.1660309314727783,51.54282746028222,4.427961301058531,2.458186801190567e-06,True,
neohookean,1000,float32,cuda,compiled[cuda_graphs],0.0999018669128418,85.6610984200868,3.218998894095421,2.458186801190567e-06,True,
neohookean,10000,float32,cuda,eager_fwd(lib),8.430872599283854,1.0,0.0,0.0,True,baseline
neohookean,10000,float32,cuda,eager_rev,6.512740071614584,1.2945200494073676,0.0,1.705937489844341e-07,True,
neohookean,10000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,10000,float32,cuda,compiled[fusion],0.1636938730875651,51.50389834550441,0.47492919862270355,4.05586638210492e-05,True,
neohookean,10000,float32,cuda,compiled[cuda_graphs],0.09542826811472575,88.34774816564932,0.4101626072078943,4.05586638210492e-05,True,
neohookean,100000,float32,cuda,eager_fwd(lib),8.450276184082032,1.0,0.0,0.0,True,baseline
neohookean,100000,float32,cuda,eager_rev,6.689900716145833,1.263139251631582,0.0,5.265323328236149e-08,True,
neohookean,100000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,100000,float32,cuda,compiled[fusion],0.4571839968363444,18.483315782172774,1.3720336705446243,0.00013505554336925722,False,
neohookean,100000,float32,cuda,compiled[cuda_graphs],0.47500588099161783,17.78983486781535,1.5390366520732641,0.00013505554336925722,False,
neohookean,1000,float64,cuda,eager_fwd(lib),8.501912434895834,1.0,0.0,0.0,True,baseline
neohookean,1000,float64,cuda,eager_rev,6.597331237792969,1.2886896425925116,0.0,4.3580537363997626e-16,True,
neohookean,1000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,1000,float64,cuda,compiled[fusion],0.16589120229085286,51.249929577275864,4.011356500908732,9.042961503029507e-15,True,
neohookean,1000,float64,cuda,compiled[cuda_graphs],0.10197546482086181,83.37213710995059,3.298997873440385,9.042961503029507e-15,True,
neohookean,10000,float64,cuda,eager_fwd(lib),8.417051696777344,1.0,0.0,0.0,True,baseline
neohookean,10000,float64,cuda,eager_rev,6.63237559000651,1.2690855007457564,0.0,1.295373275645184e-16,True,
neohookean,10000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,10000,float64,cuda,compiled[fusion],0.17061333656311034,49.334078251636875,4.159263536334038,3.7306750338581296e-14,True,
neohookean,10000,float64,cuda,compiled[cuda_graphs],0.12934079964955647,65.07653980478702,3.3554090466350317,3.7306750338581296e-14,True,
neohookean,100000,float64,cuda,eager_fwd(lib),17.820851643880207,1.0,0.0,0.0,True,baseline
neohookean,100000,float64,cuda,eager_rev,16.964958699544272,1.0504506353062284,0.0,1.5930030086182323e-16,True,
neohookean,100000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean,100000,float64,cuda,compiled[fusion],1.3647093454996744,13.058349532555802,4.5337347611784935,2.976127870851013e-13,True,
neohookean,100000,float64,cuda,compiled[cuda_graphs],1.3873184204101563,12.845538112736605,3.004410233348608,2.976127870851013e-13,True,
neohookean_torchdet,1000,float32,cuda,eager_fwd(lib),7.326353963216146,1.0,0.0,0.0,True,baseline
neohookean_torchdet,1000,float32,cuda,eager_rev,7.091131591796875,1.0331713448515578,0.0,4.9417042192983636e-05,True,
neohookean_torchdet,1000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,1000,float32,cuda,compiled[fusion],2.710407511393229,2.7030451813683856,0.49918866343796253,4.9417042192983636e-05,True,
neohookean_torchdet,1000,float32,cuda,compiled[cuda_graphs],nan,nan,nan,nan,False,CUDA-graph capture fails (CPU sync)
neohookean_torchdet,10000,float32,cuda,eager_fwd(lib),9.416087849934895,1.0,0.0,0.0,True,baseline
neohookean_torchdet,10000,float32,cuda,eager_rev,17.226389567057293,0.5466083193626163,0.0,5.267124871416314e-07,True,
neohookean_torchdet,10000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,10000,float32,cuda,compiled[fusion],14.679425048828126,0.6414480007639394,0.5028416365385056,5.267124871416314e-07,True,
neohookean_torchdet,10000,float32,cuda,compiled[cuda_graphs],nan,nan,nan,nan,False,CUDA-graph capture fails (CPU sync)
neohookean_torchdet,100000,float32,cuda,eager_fwd(lib),83.38041178385417,1.0,0.0,0.0,True,baseline
neohookean_torchdet,100000,float32,cuda,eager_rev,146.99754231770834,0.5672231689672923,0.0,1.3373927650053679e-06,True,
neohookean_torchdet,100000,float32,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,100000,float32,cuda,compiled[fusion],138.25965169270833,0.6030711835523275,0.6340555250644684,1.3373927650053679e-06,True,
neohookean_torchdet,100000,float32,cuda,compiled[cuda_graphs],nan,nan,nan,nan,False,CUDA-graph capture fails (CPU sync)
neohookean_torchdet,1000,float64,cuda,eager_fwd(lib),8.43969472249349,1.0,0.0,0.0,True,baseline
neohookean_torchdet,1000,float64,cuda,eager_rev,10.7650634765625,0.7839893132881418,0.0,3.951673574043253e-05,True,
neohookean_torchdet,1000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,1000,float64,cuda,compiled[fusion],6.028699747721354,1.399919564029277,0.5081974752247334,3.951673574043253e-05,False,
neohookean_torchdet,1000,float64,cuda,compiled[cuda_graphs],nan,nan,nan,nan,False,CUDA-graph capture fails (CPU sync)
neohookean_torchdet,10000,float64,cuda,eager_fwd(lib),25.33464152018229,1.0,0.0,0.0,True,baseline
neohookean_torchdet,10000,float64,cuda,eager_rev,55.117635091145836,0.4596467442459642,0.0,8.702645559866716e-06,True,
neohookean_torchdet,10000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,10000,float64,cuda,compiled[fusion],42.131107584635416,0.6013286374987553,0.5396348480135202,8.702645559866716e-06,False,
neohookean_torchdet,10000,float64,cuda,compiled[cuda_graphs],nan,nan,nan,nan,False,CUDA-graph capture fails (CPU sync)
neohookean_torchdet,100000,float64,cuda,eager_fwd(lib),255.493310546875,1.0,0.0,0.0,True,baseline
neohookean_torchdet,100000,float64,cuda,eager_rev,535.712890625,0.4769220883387717,0.0,1.1899976891691199e-07,True,
neohookean_torchdet,100000,float64,cuda,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
neohookean_torchdet,100000,float64,cuda,compiled[fusion],410.1648763020833,0.622903923052412,1.0240503083914518,1.1899976891691199e-07,False,
neohookean_torchdet,100000,float64,cuda,compiled[cuda_graphs],nan,nan,nan,nan,False,CUDA-graph capture fails (CPU sync)
spring,1000,float32,cpu,eager_fwd(lib),2.6700790971517563,1.0,0.0,0.0,True,baseline
spring,1000,float32,cpu,eager_rev,1.3880793005228043,1.9235782106584987,0.0,0.0,True,
spring,1000,float32,cpu,compiled_fwd,nan,nan,nan,nan,False,fwd-over-rev does NOT compile: RuntimeError when making fake tensor cal
spring,1000,float32,cpu,compiled[fusion],0.07043760269880295,37.90701265869647,6.649912947788835,0.0,True,
spring,1000,float32,cpu,compiled[cuda_graphs],0.06865281611680984,38.89249193519943,0.5408996045589447,0.0,True,
